public|question_facet_tags_v|fk_question_facet_tags_v_version_facet|FOREIGN KEY|assessment_version|public|aq_facets_v|assessment_version
public|question_facet_tags_v|fk_question_facet_tags_v_version_facet|FOREIGN KEY|assessment_version|public|aq_facets_v|facet_code
public|question_facet_tags_v|fk_question_facet_tags_v_version_facet|FOREIGN KEY|facet_code|public|aq_facets_v|facet_code
public|question_facet_tags_v|fk_question_facet_tags_v_version_facet|FOREIGN KEY|facet_code|public|aq_facets_v|assessment_version
public|question_facet_tags_v|question_facet_tags_v_pkey|PRIMARY KEY|id|public|question_facet_tags_v|id
public|question_facet_tags_v|uq_question_facet_tags_v_version_question_facet|UNIQUE|assessment_version|public|question_facet_tags_v|assessment_version
public|question_facet_tags_v|uq_question_facet_tags_v_version_question_facet|UNIQUE|assessment_version|public|question_facet_tags_v|facet_code
public|question_facet_tags_v|uq_question_facet_tags_v_version_question_facet|UNIQUE|assessment_version|public|question_facet_tags_v|question_code
public|question_facet_tags_v|uq_question_facet_tags_v_version_question_facet|UNIQUE|question_code|public|question_facet_tags_v|question_code
public|question_facet_tags_v|uq_question_facet_tags_v_version_question_facet|UNIQUE|question_code|public|question_facet_tags_v|assessment_version
public|question_facet_tags_v|uq_question_facet_tags_v_version_question_facet|UNIQUE|question_code|public|question_facet_tags_v|facet_code
public|question_facet_tags_v|uq_question_facet_tags_v_version_question_facet|UNIQUE|facet_code|public|question_facet_tags_v|assessment_version
public|question_facet_tags_v|uq_question_facet_tags_v_version_question_facet|UNIQUE|facet_code|public|question_facet_tags_v|question_code
public|question_facet_tags_v|uq_question_facet_tags_v_version_question_facet|UNIQUE|facet_code|public|question_facet_tags_v|facet_code
public|question_translations|question_translations_locale_fkey|FOREIGN KEY|locale|public|languages|code
public|question_translations|question_translations_question_id_fkey|FOREIGN KEY|question_id|public|questions|id
public|question_translations|question_translations_pkey|PRIMARY KEY|id|public|question_translations|id
public|question_translations|uq_qt_assessment_qid_locale|UNIQUE|assessment_version|public|question_translations|assessment_version
public|question_translations|uq_qt_assessment_qid_locale|UNIQUE|assessment_version|public|question_translations|question_id
public|question_translations|uq_qt_assessment_qid_locale|UNIQUE|assessment_version|public|question_translations|locale
public|question_translations|uq_qt_assessment_qid_locale|UNIQUE|question_id|public|question_translations|locale
public|question_translations|uq_qt_assessment_qid_locale|UNIQUE|question_id|public|question_translations|question_id
public|question_translations|uq_qt_assessment_qid_locale|UNIQUE|question_id|public|question_translations|assessment_version
public|question_translations|uq_qt_assessment_qid_locale|UNIQUE|locale|public|question_translations|question_id
public|question_translations|uq_qt_assessment_qid_locale|UNIQUE|locale|public|question_translations|assessment_version
public|question_translations|uq_qt_assessment_qid_locale|UNIQUE|locale|public|question_translations|locale
public|questions|questions_pkey|PRIMARY KEY|id|public|questions|id
public|skill_aliases|skill_aliases_pkey|PRIMARY KEY|id|public|skill_aliases|id
public|skills|skills_pkey|PRIMARY KEY|id|public|skills|id
public|skills|skills_name_key|UNIQUE|name|public|skills|name
public|student_keyskill_map|student_keyskill_map_keyskill_id_fkey|FOREIGN KEY|keyskill_id|public|keyskills|id
public|student_keyskill_map|student_keyskill_map_student_id_fkey|FOREIGN KEY|student_id|public|students|id
public|student_keyskill_map|student_keyskill_map_pkey|PRIMARY KEY|id|public|student_keyskill_map|id
public|student_skill_map|student_skill_map_skill_id_fkey|FOREIGN KEY|skill_id|public|skills|id
public|student_skill_map|student_skill_map_student_id_fkey|FOREIGN KEY|student_id|public|students|id
public|student_skill_map|student_skill_map_pkey|PRIMARY KEY|id|public|student_skill_map|id
public|student_skill_scores|student_skill_scores_pkey|PRIMARY KEY|id|public|student_skill_scores|id
public|students|fk_students_user_id_users|FOREIGN KEY|user_id|public|users|id
public|students|students_pkey|PRIMARY KEY|id|public|students|id
public|students|uq_students_user_id|UNIQUE|user_id|public|students|user_id
public|users|users_pkey|PRIMARY KEY|id|public|users|id
